economy,countrycode,Region,Income group,WBL Report Year,WBL_index,GR1_mobility,GR2_workplace,GR3_pay,GR4_marriage,GR5_parenthood,GR6_entrep,GR7_assets,GR8_pension,gr1_1passpmrd,gr1_2trvlctrymrd,gr1_3trvlhmmrd,gr1_4whlivemrd,gr2_5profhmmrd,gr2_6nondiscempl,gr2_7sexhrssemp,gr2_8sexcomb,gr3_9eqremunval,gr3_10nprgeqnight,gr3_11jobshazard,gr3_12industry,gr4_13obeymrd,gr4_14hhmrd,gr4_15domleg,gr4_16dvrcjdgmnt,gr4_17equalremarr,gr5_18wpdleave14,gr5_19govleaveprov,gr5_20patleave,gr5_21paidprntl,gr5_22pregdism,gr6_23cntrcthmmrd,gr6_24regbusmrd,gr6_25bnkaccmrd,gr6_26disgend,gr7_27prtyeqownmrdbth,gr7_28prtyeqsondght,gr7_29prtyeqsuvrspse,gr7_30prtylegadmin,gr7_31valnonmntry,gr8_32retagequal,gr8_33penagequal,gr8_34mandagequal,gr8_35carecredit
Afghanistan,AFG,South Asia,Low income,1971,26.3,25,25,0,20,0,75,40,25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
Afghanistan,AFG,South Asia,Low income,1972,26.3,25,25,0,20,0,75,40,25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
Afghanistan,AFG,South Asia,Low income,1973,26.3,25,25,0,20,0,75,40,25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
Afghanistan,AFG,South Asia,Low income,1974,26.3,25,25,0,20,0,75,40,25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
Afghanistan,AFG,South Asia,Low income,1975,26.3,25,25,0,20,0,75,40,25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
Afghanistan,AFG,South Asia,Low income,1976,26.3,25,25,0,20,0,75,40,25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
Afghanistan,AFG,South Asia,Low income,1977,26.3,25,25,0,20,0,75,40,25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
Afghanistan,AFG,South Asia,Low income,1978,26.3,25,25,0,20,0,75,40,25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
Afghanistan,AFG,South Asia,Low income,1979,26.3,25,25,0,20,0,75,40,25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
Afghanistan,AFG,South Asia,Low income,1980,26.3,25,25,0,20,0,75,40,25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
